#column labels
#number   mjd start   mjd stop   mjd midpoint   flux(crab)   flux error(crab)
169	51171.3889	51171.4569	51171.4238	 1.02	0.21
170	51172.4514	51172.4910	51172.4712	-0.14	0.17
171	51175.4208	51175.4403	51175.4306	 0.75	0.22
172	51192.4444	51192.4639	51192.4542	-0.04	0.25
173	51193.3639	51193.4049	51193.3844	 0.31	0.18
174	51195.4882	51195.5076	51195.4979	 0.08	0.21
175	51196.4431	51196.5431	51196.4891	 0.06	0.16
176	51197.4264	51197.4458	51197.4361	 0.06	0.21
177	51200.4076	51200.4271	51200.4174	-0.06	0.18
178	51201.3604	51201.3799	51201.3701	 0.08	0.17
179	51219.3021	51219.3215	51219.3118	 0.45	0.27
180	51220.3632	51220.3826	51220.3729	 0.42	0.24
181	51221.3535	51221.3729	51221.3632	 0.22	0.23
182	51222.3542	51222.3736	51222.3639	 0.33	0.21
183	51223.3646	51223.3840	51223.3743	 0.04	0.21
184	51224.3097	51224.3292	51224.3194	 0.09	0.23
185	51225.3340	51225.3535	51225.3438	 0.29	0.23
186	51227.3556	51227.3750	51227.3653	 0.09	0.20
187	51228.3313	51228.3507	51228.3410	 0.29	0.22
188	51229.3431	51229.3625	51229.3528	 0.81	0.63
189	51230.3542	51230.3736	51230.3639	 0.05	0.21
190	51232.3542	51232.3736	51232.3639	 0.30	0.24
191	51233.3986	51233.4181	51233.4083	 0.26	0.26
192	51247.2507	51247.2938	51247.2722	 0.17	0.23
193	51248.2292	51248.2486	51248.2389	 0.20	0.28
194	51250.2965	51250.3160	51250.3063	 0.18	0.22
195	51252.2569	51252.2993	51252.2781	 0.67	0.26
196	51253.2403	51253.2806	51253.2604	 0.32	0.22
197	51256.2049	51256.2243	51256.2146	 0.15	0.17
198	51257.2639	51257.2833	51257.2736	-0.04	0.15
199	51259.2847	51259.3042	51259.2944	 0.43	0.24
200	51260.3056	51260.3250	51260.3153	 0.37	0.19
201	51275.1896	51275.2799	51275.2347	 0.56	0.21
202	51277.1444	51277.1639	51277.1542	 0.57	0.27
203	51278.1451	51278.1646	51278.1549	 0.54	0.21
204	51279.1958	51279.2153	51279.2056	 0.22	0.18
205	51280.2049	51280.2243	51280.2146	 0.19	0.20
206	51283.1819	51283.2014	51283.1917	 0.43	0.18
207	51284.2757	51284.2951	51284.2854	 0.28	0.20
208	51285.1674	51285.2306	51285.1990	 0.65	0.20
209	51286.2472	51286.3215	51286.2911	 0.73	0.23
210	51288.2604	51288.2799	51288.2701	 0.55	0.22
211	51303.2250	51303.2444	51303.2347	 0.62	0.22
212	51304.1535	51304.2646	51304.2114	 0.24	0.22
213	51305.1486	51305.2667	51305.2080	 1.05	0.24
214	51306.1500	51306.1903	51306.1701	 0.69	0.22
215	51307.1472	51307.2340	51307.1802	-0.02	0.22
216	51308.1590	51308.2410	51308.1965	 0.79	0.22
217	51312.1500	51312.1639	51312.1569	 0.18	0.13
218	51314.1507	51314.2438	51314.2007	 0.71	0.23
219	51315.1590	51315.2604	51315.2100	 0.11	0.21
220	51316.2194	51316.2597	51316.2396	 0.45	0.24
221	51334.1722	51334.1917	51334.1819	 0.71	0.22
222	51335.1715	51335.1910	51335.1813	 0.46	0.24
223	51336.1764	51336.1958	51336.1861	 0.39	0.23
224	51519.5146	51519.5340	51519.5243	 0.06	0.22
225	51520.5118	51520.5313	51520.5215	 0.34	0.25
226	51521.5035	51521.5229	51521.5132	 0.15	0.21
227	51524.4882	51524.5278	51524.5080	 0.13	0.22
228	51525.5049	51525.5243	51525.5146	 0.15	0.20
229	51529.5021	51529.5215	51529.5118	 0.27	0.18
230	51530.5056	51530.5250	51530.5153	 0.16	0.18
231	51545.3910	51545.4104	51545.4007	-0.09	0.23
232	51547.3924	51547.4535	51547.4229	 0.58	0.33
233	51548.3903	51548.4097	51548.4000	 0.65	0.34
234	51549.3903	51549.4528	51549.4215	 1.80	0.38
235	51550.4111	51550.4306	51550.4208	 1.81	0.58
236	51553.3875	51553.4069	51553.3972	 1.00	0.32
237	51554.3507	51554.3917	51554.3712	 1.26	0.21
238	51555.3778	51555.4382	51555.4080	 0.97	0.28
239	51556.3583	51556.4382	51556.3947	 0.09	0.21
240	51572.3361	51572.3556	51572.3458	 0.90	0.94
241	51576.3611	51576.4167	51576.3889	 0.69	0.22
242	51577.3160	51577.3354	51577.3257	 0.64	0.23
243	51578.4049	51578.4243	51578.4146	 1.40	0.25
